title,url,playlist_title,channel_title,embed_code
LPI - Tự học Linux Bài 46 - Thực hiện các phép tính trong lập trình Shell Bash,https://www.youtube.com/watch?v=1KhgzhR4-IM,LPI1 - Tự học Linux cơ bản,TITV,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/1KhgzhR4-IM"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
LPI - Tự học Linux Bài 47 - Truyền tham số lệnh Shell Bash,https://www.youtube.com/watch?v=679e1V3cHhg,LPI1 - Tự học Linux cơ bản,TITV,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/679e1V3cHhg"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
LPI - Tự học Linux Bài 48 - Câu lệnh điều kiện và các phép toán so sánh trong Shell Bash,https://www.youtube.com/watch?v=qbzUZuf3MMg,LPI1 - Tự học Linux cơ bản,TITV,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/qbzUZuf3MMg"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
LPI - Tự học Linux Bài 49 - Vòng lặp trong Shell Bash,https://www.youtube.com/watch?v=qHDoFCKLCM8,LPI1 - Tự học Linux cơ bản,TITV,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/qHDoFCKLCM8"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
LPI - Tự học Linux Bài 50 - Cách sử dụng mảng trong lập trình Shell Bash,https://www.youtube.com/watch?v=WwxhieGazx0,LPI1 - Tự học Linux cơ bản,TITV,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/WwxhieGazx0"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
LPI - Tự học Linux Bài 51 - Cách xây dựng hàm trong lập trình Shell Bash,https://www.youtube.com/watch?v=2wVi0JWvzxk,LPI1 - Tự học Linux cơ bản,TITV,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/2wVi0JWvzxk"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
LPI - Tự học Linux Bài 52 -  Lập trình kiểm tra số nguyên tố,https://www.youtube.com/watch?v=J3piOMDJg7s,LPI1 - Tự học Linux cơ bản,TITV,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/J3piOMDJg7s"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
LPI - Tự học Linux Bài 53 - Lập trình tìm min của mảng trong Shell Bash,https://www.youtube.com/watch?v=TJXg5TekztQ,LPI1 - Tự học Linux cơ bản,TITV,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/TJXg5TekztQ"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
LPI - Tự học Linux Bài 54 - Nhập xuất dữ liệu từ file và sắp xếp mảng trong Shell Bash,https://www.youtube.com/watch?v=h0b901u534E,LPI1 - Tự học Linux cơ bản,TITV,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/h0b901u534E"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
LPI - Tự học Linux Bài 55 - Cách Debug trong lập trình Shell Bash,https://www.youtube.com/watch?v=76KfxmMRvWQ,LPI1 - Tự học Linux cơ bản,TITV,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/76KfxmMRvWQ"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
